id,name,party,sector,country,type
uvdl,Adam the Man,CDU,Politik,Deutschland,1
lk,Lars Klingbeil,SPD,Politik,Deutschland,1
nr,Norbert Röttgen,CDU,Politik,Deutschland,1
sw,Sahra Wagenknecht,Linke,Politik,Deutschland,1
cs,Constanze Stelzenmüller,,,Deutschland,1
500,Folge 500,,,,3
CDU,CDU,CDU,Politik,Deutschland,2
SPD,SPD,SPD,Politik,Deutschland,2
Linke,Linke,Linke,Politik,Deutschland,2
cl,Christian Lindner,FDP,Politik,Deutschland,1
ks,Karl Schlögel,,Wissenschaft,Deutschland,1
lm,Ljudmyla Melny,,Wissenschaft,Ukraine,1
kd,Kristina Dunz,,,Deutschland,1
501,Folge 501,,,,3
ab,Annalena Baerbock,Grünen,Politik,Deutschland,1
ft,Frans Timmermans,,Politik,Deutschland,1
am,Andrij Melnyk,,Politik,Deutschland,1
agl,Alexander Graf Lambsdorff,FDP,Politik,Deutschland,1
er,Egon Ramms,,,,1
502,Folge 502,,,,3
Grünen,Grünen,GRünen,Politik,Deutschland,2
rh,Robert Habeck,Grünen,Politik,Deutschland,1
cm,Claudia Major,,Wissenschaft,Deutschland,1
kp,Katja Petrowskaja,,Wissenschaft,Deutschland,1
rk,Roderich Kiesewetter,CDU,Politik,Deutschland,1
503,Folge 503,,,,3